2022-04-04 16:36:07,385 - INFO - mtx_name: 54_curtis54.mtx, num_nodes: 54, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 34, greedy_result:34, abc_result: 34, greedy_time:0.0
2022-04-04 16:36:14,805 - INFO - mtx_name: 57_will57.mtx, num_nodes: 57, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 17, greedy_result:18, abc_result: 17, greedy_time:0.0
2022-04-04 16:36:24,211 - INFO - mtx_name: 59_dwt_59.mtx, num_nodes: 59, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 22, greedy_result:22, abc_result: 22, greedy_time:0.0
2022-04-04 16:36:33,511 - INFO - mtx_name: 59_impcol_b.mtx, num_nodes: 59, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 15, greedy_result:16, abc_result: 16, greedy_time:0.0
2022-04-04 16:36:43,484 - INFO - mtx_name: 62_bfwa62.mtx, num_nodes: 62, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 16, greedy_result:18, abc_result: 17, greedy_time:0.0
2022-04-04 16:36:52,734 - INFO - mtx_name: 62_can_62.mtx, num_nodes: 62, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 24, greedy_result:24, abc_result: 24, greedy_time:0.0
2022-04-04 16:37:35,192 - INFO - mtx_name: 66_bcsstk02.mtx, num_nodes: 66, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 66, greedy_result:66, abc_result: 66, greedy_time:0.0
2022-04-04 16:37:46,368 - INFO - mtx_name: 72_dwt_72.mtx, num_nodes: 72, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 22, greedy_result:22, abc_result: 22, greedy_time:0.0
2022-04-04 16:37:59,668 - INFO - mtx_name: 73_can_73.mtx, num_nodes: 73, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 55, greedy_result:55, abc_result: 55, greedy_time:0.0
2022-04-04 16:38:13,946 - INFO - mtx_name: 80_steam3.mtx, num_nodes: 80, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 8, greedy_result:16, abc_result: 16, greedy_time:0.0
2022-04-04 16:38:29,390 - INFO - mtx_name: 85_ash85.mtx, num_nodes: 85, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 43, greedy_result:43, abc_result: 43, greedy_time:0.0
2022-04-04 16:38:46,914 - INFO - mtx_name: 87_dwt_87.mtx, num_nodes: 87, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 23, greedy_result:24, abc_result: 24, greedy_time:0.0009968280792236328
2022-04-04 16:42:13,891 - INFO - mtx_name: 104_ck104.mtx, num_nodes: 104, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 30, greedy_result:30, abc_result: 30, greedy_time:0.0
2022-04-04 16:42:34,197 - INFO - mtx_name: 112_bcsstk03.mtx, num_nodes: 112, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 52, greedy_result:52, abc_result: 52, greedy_time:0.0
